binomio,class,family,invasora,habitat,registros,zonas,nombre_comun
Lupinus arboreus,Magnoliopsida,Fabaceae,True,terrestrial,118,8,
Cirsium vulgare,Magnoliopsida,Asteraceae,True,terrestrial,116,20,
Robinia pseudoacacia,Magnoliopsida,Fabaceae,False,terrestrial,110,10,
Veronica persica,Magnoliopsida,Plantaginaceae,False,terrestrial,110,14,
Phyla canescens,Magnoliopsida,Verbenaceae,False,terrestrial,109,10,
Euphorbia peplus,Magnoliopsida,Euphorbiaceae,False,terrestrial,105,17,
Plantago lanceolata,Magnoliopsida,Plantaginaceae,True,terrestrial,103,20,llantén
Ailanthus altissima,Magnoliopsida,Simaroubaceae,False,terrestrial,98,6,árbol del cielo
Cynara cardunculus,Magnoliopsida,Asteraceae,False,terrestrial,96,8,
Cairina moschata,Aves,Anatidae,False,terrestrial|freshwater,94,9,
Malva dendromorpha,Magnoliopsida,Malvaceae,False,terrestrial,90,11,
Anagallis arvensis,Magnoliopsida,Primulaceae,True,terrestrial,89,10,
Fumaria agraria,Magnoliopsida,Papaveraceae,False,terrestrial,88,7,
Capsella bursa-pastoris,Magnoliopsida,Brassicaceae,True,terrestrial,85,12,
Erodium cicutarium,Magnoliopsida,Geraniaceae,False,terrestrial,82,8,alfilerillo
Digitalis purpurea,Magnoliopsida,Plantaginaceae,False,terrestrial,81,12,
Echium plantagineum,Magnoliopsida,Boraginaceae,True,terrestrial,80,8,
Trachemys scripta,Reptilia,Emydidae,False,terrestrial|freshwater,79,7,
Cymbalaria muralis,Magnoliopsida,Plantaginaceae,False,terrestrial,79,10,
Ulex europaeus,Magnoliopsida,Fabaceae,True,terrestrial,75,6,espinillo
Amaryllis belladonna,Liliopsida,Amaryllidaceae,False,terrestrial,71,10,
Echium vulgare,Magnoliopsida,Boraginaceae,False,terrestrial,70,12,
Chrysanthemum coronarium,Magnoliopsida,Asteraceae,True,terrestrial,67,6,
Lycalopex griseus,Mammalia,Canidae,False,terrestrial,67,15,
Fumaria capreolata,Magnoliopsida,Papaveraceae,False,terrestrial,66,17,flor de la culebra
Achillea millefolium,Magnoliopsida,Asteraceae,True,terrestrial,66,12,
Rosa rubiginosa,Magnoliopsida,Rosaceae,False,terrestrial,65,14,rosa mosqueta
Ranunculus repens,Magnoliopsida,Ranunculaceae,True,terrestrial,64,10,
Veronica anagallis-aquatica,Magnoliopsida,Plantaginaceae,False,terrestrial|freshwater,64,16,
