zona,speciesKey,registros
Gran Valparaiso,8174785,15
Gran Valparaiso,3040983,11
Gran Valparaiso,7678610,7
Gran Valparaiso,5352251,5
Gran Valparaiso,7538163,4
Gran Valparaiso,2984366,3
Gran Valparaiso,3040227,3
Gran Valparaiso,3040251,3
Gran Valparaiso,3046851,3
Gran Valparaiso,3108983,3
Gran Valparaiso,5403742,3
Gran Valparaiso,2439261,2
Gran Valparaiso,3033374,2
Gran Valparaiso,3046812,2
Gran Valparaiso,3084719,2
Gran Valparaiso,5372639,2
Gran Valparaiso,2439270,1
Gran Valparaiso,3002461,1
Gran Valparaiso,3033318,1
Gran Valparaiso,3033339,1
Gran Valparaiso,3085810,1
Gran Valparaiso,3190381,1
Gran Valparaiso,4933568,1
Gran Valparaiso,5289919,1
Gran Valparaiso,5339050,1
Gran Valparaiso,5355395,1
Gran Valparaiso,8195144,1
Gran Valparaiso,2889934,68
Gran Valparaiso,5347796,33
Gran Valparaiso,3169708,28
Gran Valparaiso,3171954,27
Gran Valparaiso,5217334,23
Gran Valparaiso,1311649,15
Gran Valparaiso,5361815,10
Gran Valparaiso,3172077,6
Gran Valparaiso,2443002,5
Gran Valparaiso,3172086,5
Gran Valparaiso,5358748,5
Gran Valparaiso,5359477,4
Gran Valparaiso,5394163,4
Gran Valparaiso,3089150,3
Gran Valparaiso,3118430,3
Gran Valparaiso,2868827,2
Gran Valparaiso,2975014,2
Gran Valparaiso,5331181,2
Gran Valparaiso,5358935,2
Gran Valparaiso,5384604,2
Gran Valparaiso,8324121,2
Gran Valparaiso,2765156,1
Gran Valparaiso,3085633,1
Gran Valparaiso,3172048,1
Gran Valparaiso,5289534,1
Gran Valparaiso,5358694,1
Gran Valparaiso,5359395,1
Gran Valparaiso,5359429,1
Gran Valparaiso,5359510,1
Gran Valparaiso,5361865,1
Gran Valparaiso,5554574,1
Gran Valparaiso,7736551,1
Gran Valparaiso,9182154,1
Gran Concepcion,1340503,134
Gran Concepcion,2979000,73
Gran Concepcion,2979474,56
Gran Concepcion,8184903,32
Gran Concepcion,5325855,26
Gran Concepcion,3114986,16
Gran Concepcion,2926110,14
Gran Concepcion,5414976,13
Gran Concepcion,5391802,11
Gran Concepcion,2876213,10
Gran Concepcion,3120060,4
Gran Concepcion,2705300,3
Gran Concepcion,7747216,3
Gran Concepcion,2441022,2
Gran Concepcion,2706435,2
Gran Concepcion,3083786,2
Gran Concepcion,1340383,1
Gran Concepcion,2704505,1
Gran Concepcion,3033191,1
Gran Concepcion,3042845,1
Gran Concepcion,5374672,1
Gran Concepcion,5384390,1
Gran Concepcion,7792960,1
Gran Concepcion,2495414,59
Gran Concepcion,5858758,44
Gran Concepcion,5392252,41
Gran Concepcion,3112801,33
Gran Concepcion,3034807,30
Gran Concepcion,2702792,26
Gran Concepcion,5228080,26
Gran Concepcion,9751099,20
Gran Concepcion,2480830,19
Gran Concepcion,2928390,19
Gran Concepcion,8200663,15
Gran Concepcion,2370771,14
Gran Concepcion,2702793,12
Gran Concepcion,9890104,12
Gran Concepcion,3112110,11
Gran Concepcion,3114667,9
Gran Concepcion,3112364,7
Gran Concepcion,5391480,7
Gran Concepcion,2928441,6
Gran Concepcion,5362055,6
Gran Concepcion,5375388,6
Gran Concepcion,2747939,5
Gran Concepcion,3110767,5
Gran Concepcion,5219173,5
Gran Concepcion,8542672,5
Gran Concepcion,3046258,4
Gran Concepcion,3103791,4
Gran Concepcion,4064467,4
Gran Concepcion,2703647,3
Gran Concepcion,7627205,3
Gran Concepcion,2703723,2
Gran Concepcion,9324713,2
Gran Concepcion,2703777,1
Gran Concepcion,3092083,1
Gran Concepcion,3138230,1
Gran Concepcion,5178595,1
Gran Concepcion,5403304,1
Gran Concepcion,6109637,1
Gran Concepcion,8149099,1
Gran Concepcion,8370958,1
Gran Concepcion,4989904,127
Gran Concepcion,2925895,64
Gran Concepcion,2975667,35
Gran Concepcion,3034922,29
Gran Concepcion,2888380,25
Gran Concepcion,5414995,20
Gran Concepcion,2925892,19
Gran Concepcion,3034742,19
Gran Concepcion,3176787,15
Gran Concepcion,2888816,14
Gran Concepcion,4286975,14
Gran Concepcion,2435035,12
Gran Concepcion,2715482,11
Gran Concepcion,2928751,11
Gran Concepcion,2705308,10
Gran Concepcion,3066386,8
Gran Concepcion,5334218,7
Gran Concepcion,3066965,6
Gran Concepcion,3147168,6
Gran Concepcion,2440886,5
Gran Concepcion,2913548,4
Gran Concepcion,2890040,3
Gran Concepcion,2890541,3
Gran Concepcion,2891488,3
Gran Concepcion,5365717,3
Gran Concepcion,2350570,2
Gran Concepcion,5329263,2
Gran Concepcion,5354656,2
Gran Concepcion,5531376,2
Gran Concepcion,9485490,2
Gran Concepcion,2891628,1
Gran Concepcion,3066367,1
Gran Concepcion,3067119,1
Gran Concepcion,3085413,1
Gran Concepcion,3119175,1
Gran Concepcion,3189152,1
Gran Concepcion,9419993,1
Gran Concepcion,2963807,26
Gran Concepcion,8338793,21
Gran Concepcion,2873896,17
Gran Concepcion,3189486,14
Gran Concepcion,3935079,12
Gran Concepcion,2927189,11
Gran Concepcion,2965201,10
Gran Concepcion,5290177,10
Gran Concepcion,2965531,9
Gran Concepcion,3093702,8
Gran Concepcion,2965527,7
Gran Concepcion,1316908,6
Gran Concepcion,2701311,4
Gran Concepcion,2971016,4
Gran Concepcion,2971095,4
Gran Concepcion,3086240,4
Gran Concepcion,3134857,3
Gran Concepcion,3140346,3
Gran Concepcion,3188747,3
Gran Concepcion,3189525,3
Gran Concepcion,5373358,3
Gran Concepcion,9151957,3
Gran Concepcion,11055820,2
Gran Concepcion,2706241,2
Gran Concepcion,2926679,2
Gran Concepcion,3170819,2
Gran Concepcion,5357013,2
Gran Concepcion,6413649,2
Gran Concepcion,7886346,2
Gran Concepcion,7952072,2
Gran Concepcion,2434333,1
Gran Concepcion,2706164,1
Gran Concepcion,2873861,1
Gran Concepcion,2927069,1
Gran Concepcion,2964025,1
Gran Concepcion,3152367,1
Gran Concepcion,3152378,1
Gran Concepcion,5341501,1
Gran Concepcion,5356931,1
Gran Concepcion,5377378,1
Gran Concepcion,8707933,1
Gran Concepcion,8848598,1
Gran Concepcion,5231190,59
Gran Concepcion,2484396,45
Gran Concepcion,5285727,33
Gran Concepcion,5341112,30
Gran Concepcion,2891661,24
Gran Concepcion,8208358,18
Gran Concepcion,1114246,12
Gran Concepcion,3188875,12
