speciesKey,nombre_gbif,lat,lon,anio,region_gbif,licencia,foto_url,gbif_id
5341112,Phyla nodiflora,-33.279378,-71.658028,2026,Valparaíso,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/606291307/original.jpg,6130971503
5341112,Phyla nodiflora,-39.269042,-73.221683,2026,Araucanía,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/604854302/original.jpg,6131391645
3066386,Euphorbia peplus,-40.298013,-73.079589,2026,Los Ríos,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/610232675/original.jpg,6131112349
3066386,Euphorbia peplus,-33.73002,-71.636212,2026,Valparaíso,http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/609814344/original.jpg,6131147536
3066386,Euphorbia peplus,-29.873296,-71.225564,2026,Coquimbo,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/620969818/original.jpg,6179414428
8208358,Plantago lanceolata,-41.173938,-72.448463,2026,Los Lagos,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/607301933/original.jpg,6130460177
8208358,Plantago lanceolata,-40.657072,-72.076465,2026,Los Lagos,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/607778547/original.jpg,6130866806
8208358,Plantago lanceolata,-52.735046,-71.374602,2026,Magallanes y Antártica Chilena,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/607747827/original.jpg,6131330292
3190653,Ailanthus altissima,-33.440363,-70.643212,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/604664037/original.jpg,5938124461
3190653,Ailanthus altissima,-37.272154,-72.711252,2026,Bío-Bío,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/608179971/original.jpg,6130984930
3190653,Ailanthus altissima,-33.376438,-70.553192,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/606511801/original.jpg,6133226037
3112364,Cynara cardunculus,-33.6431,-70.548386,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605181675/original.jpg,5938092518
3112364,Cynara cardunculus,-34.426068,-72.044403,2026,Libertador General Bernardo O'Higgins,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605114932/original.jpg,5938206590
3112364,Cynara cardunculus,-34.426324,-72.043644,2026,Libertador General Bernardo O'Higgins,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605174381/original.jpg,5938430167
9751099,Cairina moschata,-39.551862,-72.029975,2026,Araucanía,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/606878122/original.jpg,6130600190
9751099,Cairina moschata,-37.050418,-72.379403,2026,Bío-Bío,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/611109611/original.jpg,6234991018
9751099,Cairina moschata,-39.821767,-72.508597,2026,Los Ríos,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/614340862/original.jpg,6147625909
3935079,Malva arborea,-33.622528,-71.626763,2026,Valparaíso,http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/609586499/original.jpg,6130829856
3935079,Malva arborea,-32.632602,-71.424541,2026,Valparaíso,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/617412740/original.jpg,6162832513
3935079,Malva arborea,-34.461286,-71.971682,2026,Libertador General Bernardo O'Higgins,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/641499969/original.jpg,6235970316
8184903,Lysimachia arvensis,-35.402732,-72.491751,2026,Maule,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605567688/original.jpg,5938606952
8184903,Lysimachia arvensis,-36.815542,-73.068017,2026,Bío-Bío,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/606201272/original.jpg,6129910738
8184903,Lysimachia arvensis,-33.648784,-70.334544,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/607896953/original.jpg,6131630431
5531376,Fumaria agraria,-35.263457,-72.12217,2026,Maule,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/661887953/original.jpg,6321095991
5531376,Fumaria agraria,-33.749914,-71.324725,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/682258347/original.jpg,6413153799
5531376,Fumaria agraria,-32.926191,-71.044614,2025,Valparaíso,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/550995054/original.jpg,5291912252
